,Unnamed: 0,Name,Games Played,MIN,PTS,3P%,FT%,OREB,DREB,AST,STL,BLK,Age,Birth_Place,Birthdate,Collage,Experience,Height,Pos,Team,Weight,BMI,url,id
100,100,Darrell Arthur,58,988,382,23.6,78.0,53,118,57,48,26,27.0,us,"March 25, 1988",University of Kansas,5,202.5,PF,DEN,105.75,25.78875171,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/darrell-arthur/darrell-arthur.png,100
101,101,Darren Collison,45,1565,725,37.3,78.8,19,124,252,67,14,28.0,us,"August 23, 1987","University of California, Los Angeles",5,180.0,PG,SAC,78.75,24.30555556,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/darren-collison/darren-collison.png,101
102,102,David Lee,49,904,388,0.0,65.4,81,176,85,31,26,32.0,us,"April 29, 1983",University of Florida,9,202.5,PF,GSW,110.25,26.8861454,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/david-lee/david-lee.png,102
103,103,David Stockton,3,33,8,50.0,50.0,0,2,9,2,0,24.0,us,"June 24, 1991",Gonzaga University,R,177.5,PG,SAC,74.25,23.56675263,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/david-stockton/david-stockton.png,103
104,104,David Wear,2,7,0,0.0,0.0,2,0,1,0,0,,,,,,,,,,,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/david-wear/david-wear.png,104
105,105,David West,66,1895,769,20.0,73.9,108,341,223,48,48,35.0,us,"August 29, 1980",Xavier University,11,202.5,PF,IND,112.5,27.43484225,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/david-west/david-west.png,105
106,106,DeAndre Jordan,82,2820,946,25.0,39.7,397,829,61,81,183,27.0,us,"July 21, 1988",Texas A&M University,6,207.5,C,LAC,119.25,27.69632748,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/deandre-jordan/deandre-jordan.png,106
107,107,DeJuan Blair,29,180,56,0.0,66.7,16,40,3,7,1,26.0,us,"April 22, 1989",University of Pittsburgh,5,197.5,PF,WAS,121.5,31.14885435,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/dejuan-blair/dejuan-blair.png,107
108,108,DeMar DeRozan,60,2100,1204,28.4,83.2,41,236,210,73,11,26.0,us,"August 7, 1989",University of Southern California,5,197.5,SG,TOR,99.45,25.49591412,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/demar-derozan/demar-derozan.png,108
109,109,DeMarcus Cousins,59,2013,1421,25.0,78.2,185,562,210,90,103,25.0,us,"August 13, 1990",University of Kentucky,4,207.5,C,SAC,121.5,28.2188997,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/demarcus-cousins/demarcus-cousins.png,109
110,110,DeMarre Carroll,70,2189,883,39.5,70.2,99,273,118,94,17,29.0,us,"July 27, 1986",University of Missouri,5,200.0,SF,ATL,96.75,24.1875,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/demarre-carroll/demarre-carroll.png,110
111,111,Dennis Schroder,77,1516,768,35.1,82.7,29,135,317,49,4,22.0,de,"September 15, 1993",,1,182.5,PG,ATL,77.4,23.23888159,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/dennis-schroder/dennis-schroder.png,111
112,112,Deron Williams,68,2114,884,36.7,83.4,29,208,448,64,17,,,,,,,,,,,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/deron-williams/deron-williams.png,112
113,113,Derrick Favors,74,2280,1187,16.7,66.9,196,411,112,60,123,24.0,us,"July 15, 1991",Georgia Institute of Technology,4,205.0,PF,UTA,119.25,28.37596669,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/derrick-favors/derrick-favors.png,113
114,114,Derrick Rose,51,1530,904,28.0,81.3,35,126,251,36,16,27.0,us,"October 4, 1988",University of Memphis,5,187.5,PG,CHI,85.5,24.32,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/derrick-rose/derrick-rose.png,114
115,115,Derrick Williams,74,1462,617,31.4,68.4,41,161,50,34,4,,,,,,,,,,,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/derrick-williams/derrick-williams.png,115
116,116,Devin Harris,76,1685,665,35.7,81.5,13,122,237,78,14,32.0,us,"February 27, 1983",University of Wisconsin,10,187.5,PG,DAL,86.4,24.576,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/devin-harris/devin-harris.png,116
117,117,Devyn Marble,16,208,37,18.2,31.3,5,26,17,9,2,23.0,us,"September 21, 1992",University of Iowa,R,195.0,SG,ORL,90.0,23.66863905,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/devyn-marble/devyn-marble.png,117
118,118,Dewayne Dedmon,59,845,216,0.0,53.1,118,177,9,16,50,26.0,us,"August 12, 1989",University of Southern California,1,210.0,C,ORL,110.25,25.0,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/dewayne-dedmon/dewayne-dedmon.png,118
119,119,Dion Waiters,80,2208,940,29.7,68.0,41,151,163,90,21,,,,,,,,,,,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/dion-waiters/dion-waiters.png,119
120,120,Dirk Nowitzki,77,2282,1333,38.0,88.2,44,413,143,39,33,37.0,de,"June 19, 1978",,16,210.0,PF,DAL,110.25,25.0,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/dirk-nowitzki/dirk-nowitzki.png,120
121,121,Donald Sloan,53,1107,391,31.3,77.9,12,131,190,23,0,27.0,us,"January 15, 1988",Texas A&M University,3,187.5,PG,IND,92.25,26.24,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/donald-sloan/donald-sloan.png,121
122,122,Donatas Motiejunas,71,2037,855,36.8,60.2,137,284,130,56,34,25.0,lt,"September 20, 1990",,2,210.0,PF,HOU,99.9,22.65306122,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/donatas-motiejunas/donatas-motiejunas.png,122
123,123,Dorell Wright,48,593,219,38.0,81.0,14,97,41,20,11,,,,,,,,,,,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/dorell-wright/dorell-wright.png,123
124,124,Doug McDermott,36,321,109,31.7,66.7,6,37,6,4,1,23.0,us,"January 3, 1992",Creighton University,R,200.0,SF,CHI,101.25,25.3125,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/doug-mcdermott/doug-mcdermott.png,124
125,125,Draymond Green,79,2490,921,33.7,66.0,114,533,291,123,99,25.0,us,"March 4, 1990",Michigan State University,2,197.5,PF,GSW,103.5,26.53420926,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/draymond-green/draymond-green.png,125
126,126,Drew Gooden,51,864,277,39.0,77.3,72,151,49,21,9,34.0,us,"September 24, 1981",University of Kansas,12,205.0,PF,WAS,112.5,26.76977989,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/drew-gooden/drew-gooden.png,126
127,127,Drew Gordon,9,71,17,0.0,50.0,7,11,2,1,0,25.0,us,"July 12, 1990",University of New Mexico,R,202.5,PF,PHI,110.25,26.8861454,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/drew-gordon/drew-gordon.png,127
128,128,Dwight Buycks,6,123,52,63.6,90.0,2,10,14,3,0,26.0,us,"March 6, 1989",Marquette University,1,187.5,PG,LAL,85.5,24.32,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/dwight-buycks/dwight-buycks.png,128
129,129,Dwight Howard,41,1223,646,50.0,52.8,110,321,50,28,53,30.0,us,"December 8, 1985",,10,207.5,C,HOU,119.25,27.69632748,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/dwight-howard/dwight-howard.png,129
130,130,Dwight Powell,29,236,90,27.3,75.8,18,32,9,9,6,24.0,ca,"July 20, 1991",Stanford University,R,207.5,PF,DAL,108.0,25.0834664,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/dwight-powell/dwight-powell.png,130
131,131,Dwyane Wade,62,1971,1331,28.4,76.8,58,161,299,73,21,,,,,,,,,,,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/dwyane-wade/dwyane-wade.png,131
132,132,Earl Barron,16,143,32,50.0,50.0,14,14,5,4,2,34.0,us,"August 14, 1981",University of Memphis,7,210.0,C,PHO,112.5,25.51020408,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/earl-barron/earl-barron.png,132
133,133,Earl Clark,10,93,27,28.6,25.0,1,22,3,3,4,27.0,us,"January 17, 1988",University of Louisville,5,205.0,PF,NJN,101.25,24.0928019,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/earl-clark/earl-clark.png,133
134,134,Ed Davis,79,1840,656,0.0,48.7,230,370,94,49,98,26.0,us,"June 5, 1989",University of North Carolina,4,205.0,PF,LAL,108.0,25.6989887,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/ed-davis/ed-davis.png,134
135,135,Ekpe Udoh,33,128,29,0.0,77.8,7,19,8,8,7,,,,,,,,,,,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/ekpe-udoh/ekpe-udoh.png,135
136,136,Elfrid Payton,82,2489,731,26.2,55.1,107,242,533,142,20,21.0,us,"February 22, 1994",University of Louisiana at Lafayette,R,190.0,PG,ORL,83.25,23.06094183,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/elfrid-payton/elfrid-payton.png,136
137,137,Elijah Millsap,47,924,248,31.1,67.4,28,122,58,56,16,,,,,,,,,,,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/elijah-millsap/elijah-millsap.png,137
138,138,Elliot Williams,13,119,37,44.4,25.0,0,8,12,4,0,,,,,,,,,,,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/elliot-williams/elliot-williams.png,138
139,139,Elton Brand,36,486,96,0.0,52.2,28,72,22,17,25,36.0,us,"March 11, 1979",Duke University,15,200.0,C,ATL,123.75,30.9375,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/elton-brand/elton-brand.png,139
140,140,Enes Kanter,75,2136,1163,35.6,78.2,277,394,55,36,29,23.0,ch,"May 20, 1992",,3,207.5,C,OKC,110.25,25.60603861,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/enes-kanter/enes-kanter.png,140
141,141,Eric Bledsoe,81,2800,1377,32.4,80.0,72,351,493,127,45,26.0,us,"December 9, 1989",University of Kentucky,4,182.5,PG,PHO,85.5,25.67085757,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/eric-bledsoe/eric-bledsoe.png,141
142,142,Eric Gordon,61,2018,818,44.8,80.5,28,131,229,50,14,27.0,us,"December 25, 1988",Indiana University,6,190.0,SG,NOH,96.75,26.80055402,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/eric-gordon/eric-gordon.png,142
143,143,Erick Green,43,410,146,29.8,83.3,7,24,39,12,0,24.0,us,"May 9, 1991",Virginia Polytechnic Institute and State University,R,190.0,PG,DEN,83.25,23.06094183,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/erick-green/erick-green.png,143
144,144,Ersan Ilyasova,58,1319,669,38.9,64.5,80,197,56,36,19,28.0,tr,"May 15, 1987",,6,205.0,PF,MIL,105.75,25.1635931,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/ersan-ilyasova/ersan-ilyasova.png,144
145,145,E'Twaun Moore,56,504,149,34.2,60.0,12,34,33,20,6,26.0,us,"February 28, 1989",Purdue University,3,190.0,SG,CHI,85.95,23.80886427,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/e'twaun-moore/e'twaun-moore.png,145
146,146,Evan Fournier,58,1661,698,37.8,72.8,28,125,120,40,2,23.0,fr,"October 29, 1992",,2,197.5,SG,ORL,92.25,23.65005608,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/evan-fournier/evan-fournier.png,146
147,147,Evan Turner,82,2260,779,27.7,75.2,40,377,449,83,19,26.0,ng,"October 21, 1989",Vanderbilt University,1,207.5,C,GSW,114.75,26.65118305,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/evan-turner/evan-turner.png,147
148,148,Festus Ezeli,46,504,201,0.0,62.8,60,95,9,7,42,,,,,,,,,,,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/festus-ezeli/festus-ezeli.png,148
149,149,Francisco Garcia,14,200,45,22.2,25.0,3,14,15,9,5,34.0,do,"December 31, 1981",University of Louisville,9,197.5,SF,HOU,87.75,22.49639481,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/francisco-garcia/francisco-garcia.png,149
150,150,Furkan Aldemir,41,540,93,0.0,48.1,78,98,28,17,16,24.0,tr,"August 9, 1991",,R,205.0,PF,PHI,108.0,25.6989887,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/furkan-aldemir/furkan-aldemir.png,150
151,151,Gal Mekel,4,43,6,0.0,0.0,0,1,13,2,0,27.0,il,"March 4, 1988",Wichita State University,1,187.5,PG,NOH,85.95,24.448,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/gal-mekel/gal-mekel.png,151
152,152,Garrett Temple,52,736,204,37.5,72.9,24,66,56,42,9,29.0,us,"May 8, 1986",Louisiana State University,4,195.0,SG,WAS,87.75,23.07692308,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/garrett-temple/garrett-temple.png,152
153,153,Gary Harris,55,719,188,20.4,74.5,21,43,29,39,7,21.0,us,"September 14, 1994",Michigan State University,R,190.0,SG,DEN,94.5,26.17728532,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/gary-harris/gary-harris.png,153
154,154,Gary Neal,54,1192,543,30.5,86.7,14,115,100,23,1,31.0,us,"October 3, 1984",Towson University,4,190.0,SG,MIN,94.5,26.17728532,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/gary-neal/gary-neal.png,154
155,155,George Hill,43,1267,692,35.8,79.0,25,154,220,44,14,29.0,us,"May 4, 1986",Indiana University-Purdue University Indianapolis,6,187.5,PG,IND,84.6,24.064,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/george-hill/george-hill.png,155
156,156,Gerald Green,74,1446,884,35.4,82.5,33,153,91,42,12,29.0,us,"January 26, 1986",,7,197.5,SG,PHO,92.25,23.65005608,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/gerald-green/gerald-green.png,156
157,157,Gerald Henderson,80,2315,969,33.1,84.8,36,237,206,51,22,28.0,us,"December 9, 1987",Duke University,5,192.5,SG,CHA,96.75,26.10895598,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/gerald-henderson/gerald-henderson.png,157
158,158,Gerald Wallace,32,286,35,33.3,40.0,17,40,11,15,4,,,,,,,,,,,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/gerald-wallace/gerald-wallace.png,158
159,159,Giannis Antetokounmpo,81,2541,1030,15.9,74.1,100,442,207,73,85,21.0,gr,"December 6, 1994",,1,207.5,SG,MIL,99.9,23.20220642,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/giannis-antetokounmpo/giannis-antetokounmpo.png,159
160,160,Gigi Datome,21,209,105,45.0,100.0,3,26,9,2,7,,,,,,,,,,,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/gigi-datome/gigi-datome.png,160
161,161,Glen Davis,74,904,294,0.0,63.2,43,126,39,41,21,29.0,us,"January 1, 1986",Louisiana State University,7,202.5,PF,LAC,130.05,31.71467764,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/glen-davis/glen-davis.png,161
162,162,Glen Rice,5,43,11,14.3,66.7,2,2,2,0,0,24.0,us,"January 1, 1991",Georgia Institute of Technology,1,195.0,SG,WAS,92.7,24.37869822,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/glen-rice/glen-rice.png,162
163,163,Glenn Robinson III,35,261,73,26.3,66.7,15,24,11,6,1,,,,,,,,,,,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/glenn-robinson-iii/glenn-robinson-iii.png,163
164,164,Goran Dragic,78,2640,1275,34.7,77.4,81,193,350,78,15,29.0,si,"May 6, 1986",,6,187.5,SG,PHO,85.5,24.32,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/goran-dragic/goran-dragic.png,164
165,165,Gordon Hayward,76,2618,1463,36.4,81.2,54,319,313,108,30,25.0,us,"March 23, 1990",Butler University,4,200.0,SF,UTA,101.7,25.425,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/gordon-hayward/gordon-hayward.png,165
166,166,Gorgui Dieng,73,2193,710,16.7,78.3,223,386,146,71,126,25.0,sn,"January 18, 1990",University of Louisville,1,207.5,C,MIN,108.45,25.18798084,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/gorgui-dieng/gorgui-dieng.png,166
167,167,Grant Jerrett,8,51,16,6.7,100.0,2,7,3,2,2,22.0,us,"July 8, 1993",University of Arizona,R,205.0,PF,UTA,105.75,25.1635931,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/grant-jerrett/grant-jerrett.png,167
168,168,Greg Monroe,69,2137,1098,0.0,75.0,229,475,142,78,34,25.0,us,"June 4, 1990",Georgetown University,4,207.5,PF,DET,119.25,27.69632748,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/greg-monroe/greg-monroe.png,168
169,169,Greg Smith,42,363,80,0.0,51.3,26,53,9,7,11,24.0,us,"January 8, 1991","California State University, Fresno",3,205.0,PF,DAL,112.5,26.76977989,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/greg-smith/greg-smith.png,169
170,170,Greg Stiemsma,17,66,14,0.0,50.0,9,6,3,2,0,30.0,us,"September 26, 1985",University of Wisconsin,3,207.5,C,TOR,117.0,27.17375526,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/greg-stiemsma/greg-stiemsma.png,170
171,171,Greivis Vasquez,82,1991,775,37.9,75.8,22,194,302,46,10,28.0,ve,"January 16, 1987",University of Maryland,4,195.0,PG,TOR,97.65,25.68047337,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/greivis-vasquez/greivis-vasquez.png,171
172,172,Harrison Barnes,82,2318,827,40.5,72.0,117,336,116,61,19,23.0,us,"May 30, 1992",University of North Carolina,2,200.0,SF,GSW,94.5,23.625,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/harrison-barnes/harrison-barnes.png,172
173,173,Hassan Whiteside,48,1142,564,0.0,50.0,145,337,6,27,123,,,,,,,,,,,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/hassan-whiteside/hassan-whiteside.png,173
174,174,Hedo Turkoglu,62,705,232,43.2,54.5,5,94,37,19,7,,,,,,,,,,,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/hedo-turkoglu/hedo-turkoglu.png,174
175,175,Henry Sims,73,1399,586,18.2,77.4,121,238,79,39,30,,,,,,,,,,,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/henry-sims/henry-sims.png,175
176,176,Henry Walker,24,628,175,34.1,77.8,7,75,29,24,9,,,,,,,,,,,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/henry-walker/henry-walker.png,176
177,177,Hollis Thompson,71,1776,626,40.1,70.8,53,145,85,57,26,,,,,,,,,,,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/hollis-thompson/hollis-thompson.png,177
178,178,Ian Clark,30,192,57,33.3,100.0,4,12,12,9,3,24.0,us,"March 7, 1991",Belmont University,1,187.5,SG,UTA,78.75,22.4,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/ian-clark/ian-clark.png,178
179,179,Ian Mahinmi,61,1146,265,0.0,30.4,105,251,33,30,46,29.0,fr,"November 5, 1986",,6,207.5,C,IND,112.5,26.12861083,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/ian-mahinmi/ian-mahinmi.png,179
180,180,Iman Shumpert,62,1545,496,34.2,67.2,55,169,135,81,16,25.0,us,"June 26, 1990",Georgia Institute of Technology,3,192.5,SG,NYK,99.0,26.716141,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/iman-shumpert/iman-shumpert.png,180
181,181,Isaiah Canaan,47,938,432,37.0,81.7,18,69,98,29,3,24.0,us,"May 21, 1991",Murray State University,1,180.0,PG,PHI,90.45,27.91666667,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/isaiah-canaan/isaiah-canaan.png,181
182,182,Isaiah Thomas,67,1726,1101,37.3,86.8,33,120,284,57,5,26.0,us,"February 7, 1989",University of Washington,3,172.5,PG,BOS,83.25,27.97731569,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/isaiah-thomas/isaiah-thomas.png,182
183,183,Ish Smith,55,831,338,30.0,59.6,15,85,180,36,6,,,,,,,,,,,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/ish-smith/ish-smith.png,183
184,184,J.J. Barea,77,1362,580,32.3,80.9,23,111,263,33,1,31.0,pr,"June 26, 1984",Northeastern University,8,180.0,PG,DAL,83.25,25.69444444,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/j.j.-barea/j.j.-barea.png,184
185,185,Jabari Brown,19,568,227,37.1,75.3,3,33,40,12,2,23.0,us,"December 18, 1992",University of Missouri,R,190.0,SG,LAL,96.75,26.80055402,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/jabari-brown/jabari-brown.png,185
186,186,Jabari Parker,25,738,308,25.0,69.7,50,88,42,31,5,,,,,,,,,,,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/jabari-parker/jabari-parker.png,186
187,187,Jack Cooley,16,87,27,0.0,42.9,10,15,1,6,3,24.0,us,"April 4, 1991",University of Notre Dame,R,202.5,PF,UTA,117.0,28.53223594,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/jack-cooley/jack-cooley.png,187
188,188,Jae Crowder,82,1647,628,29.3,77.3,72,221,94,72,25,25.0,us,"July 6, 1990",Marquette University,2,195.0,SF,DAL,105.75,27.81065089,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/jae-crowder/jae-crowder.png,188
189,189,JaKarr Sampson,74,1131,386,24.4,67.0,35,128,77,38,26,,,,,,,,,,,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/jakarr-sampson/jakarr-sampson.png,189
190,190,Jamaal Franklin,3,13,3,50.0,0.0,1,1,3,0,1,24.0,us,"July 21, 1991",San Diego State University,1,192.5,SG,DEN,85.95,23.19446787,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/jamaal-franklin/jamaal-franklin.png,190
191,191,Jamal Crawford,64,1703,1010,32.7,90.1,18,106,158,59,14,35.0,us,"March 20, 1980",University of Michigan,14,192.5,SG,LAC,90.0,24.28740091,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/jamal-crawford/jamal-crawford.png,191
192,192,Jameer Nelson,63,1406,523,34.5,66.7,33,113,253,47,6,33.0,us,"February 9, 1982",Saint Joseph's University,10,180.0,PG,DAL,85.5,26.38888889,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/jameer-nelson/jameer-nelson.png,192
193,193,James Ennis III,62,1051,312,32.6,84.0,51,125,48,25,17,25.0,us,"July 1, 1990","California State University, Long Beach",R,197.5,SF,MIA,94.5,24.22688672,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/james-ennis-iii/james-ennis-iii.png,193
194,194,James Harden,81,2981,2217,37.5,86.8,75,384,565,154,60,26.0,us,"August 26, 1989",Arizona State University,5,192.5,SG,HOU,99.0,26.716141,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/james-harden/james-harden.png,194
195,195,James Johnson,70,1370,554,21.6,65.7,61,196,95,54,70,28.0,us,"February 20, 1987",Wake Forest University,5,202.5,PF,TOR,112.5,27.43484225,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/james-johnson/james-johnson.png,195
196,196,James Jones,57,669,250,36.0,84.8,9,53,24,13,8,35.0,us,"October 4, 1980",University of Miami,11,200.0,SF,CLE,98.1,24.525,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/james-jones/james-jones.png,196
197,197,James Michael McAdoo,15,137,62,0.0,56.0,15,22,2,5,9,22.0,us,"January 4, 1993",University of North Carolina,R,202.5,PF,GSW,103.5,25.24005487,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/james-michael-mcadoo/james-michael-mcadoo.png,197
198,198,James Young,31,332,105,25.8,55.2,9,33,13,8,2,,,,,,,,,,,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/james-young/james-young.png,198
199,199,JaMychal Green,24,164,62,0.0,80.0,19,26,4,5,5,25.0,us,"June 21, 1990",University of Alabama,R,202.5,PF,SAS,102.15,24.91083676,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/jamychal-green/jamychal-green.png,199
200,200,Jannero Pargo,9,73,41,40.9,100.0,0,3,8,0,0,36.0,us,"October 22, 1979",University of Arkansas,10,182.5,PG,CHA,78.75,23.64421092,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/jannero-pargo/jannero-pargo.png,200
201,201,Jared Cunningham,19,89,35,30.8,53.8,1,8,10,3,0,24.0,us,"May 22, 1991",Oregon State University,2,190.0,SG,LAC,87.75,24.30747922,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/jared-cunningham/jared-cunningham.png,201
202,202,Jared Dudley,72,1717,518,38.5,71.6,45,175,130,72,11,30.0,us,"July 10, 1985",Boston College,7,197.5,SG,MIL,101.25,25.95737863,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/jared-dudley/jared-dudley.png,202
